name,reg_no,cgpa
Helia,REG000001,2.00
Emilia,REG000002,3.77
Lutie,REG000003,2.47
Flossie,REG000004,5.47
Frederic,REG000005,2.84
Carleton,REG000006,1.87
Leland,REG000007,4.09
Loren,REG000008,2.93
Hosea,REG000009,2.47
Elza,REG000010,1.73
Thedore,REG000011,2.12
Nila,REG000012,2.61
Odis,REG000013,3.06
Corrinne,REG000014,2.12
Gracie,REG000015,4.34
Lana,REG000016,1.87
Reid,REG000017,2.22
Josh,REG000018,2.89
Lot,REG000019,1.73
Lillie,REG000020,6.72
Isaiah,REG000021,2.78
Ottie,REG000022,2.54
Anner,REG000023,2.61
Billie,REG000024,2.73
Winston,REG000025,2.00
Merl,REG000026,2.00
Agnes,REG000027,2.00
Palmer,REG000028,2.12
Leon,REG000029,4.70
Caryl,REG000030,2.00
Rodney,REG000031,3.94
Holman,REG000032,1.73
Paris,REG000033,2.54
Martin,REG000034,5.64
Brooks,REG000035,1.73
Jacqueline,REG000036,2.00
Lethia,REG000037,2.47
Booker,REG000038,4.38
Curtis,REG000039,1.73
Laurel,REG000040,2.73
Isaiah,REG000041,3.02
Rebecca,REG000042,5.30
Flavia,REG000043,1.73
Orval,REG000044,3.77
Effa,REG000045,2.93
Gertrude,REG000046,7.54
Henry,REG000047,7.40
Houston,REG000048,2.78
Forrest,REG000049,3.48
Marvel,REG000050,4.01
Pearlean,REG000051,2.22
Lowell,REG000052,3.84
Agness,REG000053,2.73
Marvin,REG000054,5.96
Molly,REG000055,4.13
Rosemary,REG000056,2.39
Antonetta,REG000057,1.73
Clare,REG000058,2.67
Gerda,REG000059,2.12
Shelby,REG000060,2.73
Louella,REG000061,3.84
Mattye,REG000062,1.73
Vesta,REG000063,4.55
Newt,REG000064,2.00
Nila,REG000065,2.12
Helga,REG000066,2.78
Senie,REG000067,1.73
Nada,REG000068,1.73
Gaines,REG000069,1.73
Young,REG000070,2.12
Edd,REG000071,3.64
Gussie,REG000072,1.73
Elida,REG000073,1.87
Lillis,REG000074,1.73
Millicent,REG000075,2.73
Maurita,REG000076,1.73
Asbury,REG000077,1.87
Ellie,REG000078,2.22
Aubrey,REG000079,2.31
Nelia,REG000080,2.12
Chesley,REG000081,1.87
Hill,REG000082,1.73
Mathew,REG000083,3.62
Lee,REG000084,3.24
Erling,REG000085,1.73
Isidore,REG000086,2.73
Rollie,REG000087,2.89
Claude,REG000088,5.71
Arlean,REG000089,1.87
Aldea,REG000090,1.73
Valentine,REG000091,2.47
Delphia,REG000092,3.67
Henderson,REG000093,2.61
Ottie,REG000094,1.73
Christopher,REG000095,4.08
Edwardo,REG000096,2.00
Ira,REG000097,5.30
Deane,REG000098,1.87
Benson,REG000099,2.00
Rexford,REG000100,1.87
John,REG000101,3.89
Floris,REG000102,2.00
Reola,REG000103,1.73
Olen,REG000104,2.00
India,REG000105,3.02
Vance,REG000106,2.89
Zeta,REG000107,1.73
Lella,REG000108,2.31
